location,size,total_sqft,bath,price,Place
Prithvi Layout,2 BHK,1352,2.0,85.0,Bengaluru
Balagere,2 BHK,1145,2.0,65.0,Bengaluru
Alfa Garden Layout,2 BHK,1240,2.0,43.79,Bengaluru
7th Phase JP Nagar,3 BHK,2200,3.0,190.0,Bengaluru
Bommasandra Industrial Area,2 BHK,1020,2.0,39.0,Bengaluru
Palace Guttahalli,4 BHK,3600,4.0,365.0,Bengaluru
Raja Rajeshwari Nagar,2 BHK,1168,2.0,61.0,Bengaluru
Electronic City Phase II,2 BHK,1205,2.0,75.0,Bengaluru
Yeshwanthpur,2 BHK,1195,2.0,100.0,Bengaluru
CV Raman Nagar,2 BHK,1028,2.0,49.0,Bengaluru
Akshya Nagar,2 BHK,1175,2.0,48.27,Bengaluru
Pai Layout,3 BHK,1550,2.0,90.0,Bengaluru
Yeshwanthpur,3 BHK,1826,3.0,165.0,Bengaluru
Hoodi,5 Bedroom,2400,5.0,160.0,Bengaluru
Yelahanka,3 BHK,1603,3.0,96.0,Bengaluru
Marathahalli,3 BHK,1350,3.0,72.0,Bengaluru
KR Puram,1 BHK,714,1.0,28.0,Bengaluru
Whitefield,2 BHK,1215,2.0,65.0,Bengaluru
Malleshpalya,3 BHK,1405,2.0,77.0,Bengaluru
KR Puram,2 BHK,1142,2.0,51.0,Bengaluru
Akshaya Vana,4 Bedroom,4000,4.0,170.0,Bengaluru
Whitefield,3 BHK,1870,3.0,90.0,Bengaluru
Subramanyapura,2 BHK,1313,2.0,73.0,Bengaluru
Hennur Gardens,3 BHK,1945,3.0,120.0,Bengaluru
Thanisandra,3 BHK,1573,3.0,95.0,Bengaluru
Sarjapur  Road,2 BHK,1255,2.0,92.0,Bengaluru
Benson Town,4 BHK,1400,3.0,91.15,Bengaluru
Kannamangala,2 BHK,1235,2.0,43.63,Bengaluru
Sarjapur  Road,3 BHK,1380,2.0,52.0,Bengaluru
Ramamurthy Nagar,7 Bedroom,1500,9.0,250.0,Bengaluru
Vittasandra,2 BHK,1238,2.0,67.0,Bengaluru
Chennammana Kere,3 BHK,1465,2.0,74.72,Bengaluru
Thigalarapalya,2 BHK,1418,2.0,103.0,Bengaluru
Victoria Layout,3 BHK,1650,3.0,165.0,Bengaluru
 Anekal,1 RK,351,1.0,16.0,Bengaluru
Uttarahalli,2 BHK,1279,2.0,48.0,Bengaluru
Kasavanhalli,3 Bedroom,1870,3.0,200.0,Bengaluru
BCC Layout,4 Bedroom,1500,5.0,230.0,Bengaluru
Hebbal,3 BHK,2526,2.0,250.0,Bengaluru
Mathikere,3 Bedroom,1550,2.0,150.0,Bengaluru
Rajaji Nagar,4 BHK,3436 - 3643,,424.5,Bengaluru
Uttarahalli,3 BHK,1845,2.0,68.27,Bengaluru
Motappa Layout,3 BHK,1360,2.0,59.27,Bengaluru
Friends Colony,3 BHK,1150,2.0,75.0,Bengaluru
Whitefield,2 BHK,1260,2.0,49.5,Bengaluru
Doddabidrakallu,3 Bedroom,1200,3.0,74.0,Bengaluru
Dasanapura,2 BHK,965,2.0,42.5,Bengaluru
Hoodi,3 BHK,1350,2.0,48.0,Bengaluru
Bhoganhalli,2 BHK,1447,2.0,75.97,Bengaluru
Arehalli,3 BHK,1229,3.0,86.03,Bengaluru
Kudlu,2 BHK,1027,2.0,43.0,Bengaluru
Gottigere,2 BHK,1153,2.0,48.5,Bengaluru
Whitefield,4 BHK,2830 - 2882,5.0,145.5,Bengaluru
Malleshpalya,2 BHK,1065,2.0,50.0,Bengaluru
Tala Cauvery Layout,2 BHK,1030,2.0,61.0,Bengaluru
Mallasandra,2 BHK,1340,2.0,61.0,Bengaluru
Marathahalli,4 BHK,4000,5.0,212.0,Bengaluru
Sri Balaji Krupa Layout,1 Bedroom,600,1.0,32.0,Bengaluru
Begur Road,3 BHK,1410,2.0,44.42,Bengaluru
Varthur,2 BHK,1055,2.0,45.35,Bengaluru
Yelahanka,2 BHK,1304,2.0,79.0,Bengaluru
Sadashiva Nagar,4 BHK,2720,4.0,485.0,Bengaluru
Kammasandra,2 BHK,990,2.0,31.5,Bengaluru
7th Phase JP Nagar,2 BHK,1035,2.0,39.33,Bengaluru
Tumkur Road,1 BHK,596 - 804,1.0,30.09,Bengaluru
Sonnenahalli,2 BHK,1120,2.0,43.0,Bengaluru
Haralur Road,2 BHK,1300,2.0,73.0,Bengaluru
Tumkur Road,2 BHK,1239,2.0,82.0,Bengaluru
Sarjapur  Road,3 BHK,1403,3.0,51.63,Bengaluru
Hosa Road,2 BHK,1365,2.0,92.0,Bengaluru
8th block Koramangala,2 BHK,1165,2.0,135.0,Bengaluru
Subramanyapura,3 BHK,1130,2.0,45.19,Bengaluru
Green Glen Layout,3 BHK,1776.42,3.0,105.0,Bengaluru
Vidyaranyapura,4 Bedroom,900,4.0,175.0,Bengaluru
Haralur Road,2 BHK,1194,2.0,47.0,Bengaluru
Bidadi,2 BHK,1107,2.0,33.0,Bengaluru
Nagavara,3 BHK,2319,3.0,180.0,Bengaluru
Nallurhalli,3 BHK,1520,3.0,80.0,Bengaluru
Kannamangala,3 BHK,1536,3.0,89.0,Bengaluru
Teachers Colony,4 BHK,3000,4.0,240.0,Bengaluru
Belathur,2 BHK,1050,2.0,38.0,Bengaluru
Hoodi,3 BHK,1850,3.0,146.0,Bengaluru
Billekahalli,2 BHK,1112,2.0,62.0,Bengaluru
Marathahalli,3 BHK,1535,3.0,72.5,Bengaluru
Kanakpura Road,2 BHK,1050,2.0,35.0,Bengaluru
Banashankari,4 Bedroom,2400,3.0,370.0,Bengaluru
7th Phase JP Nagar,3 BHK,1250,3.0,65.0,Bengaluru
Kalena Agrahara,2 BHK,1187,2.0,52.0,Bengaluru
9th Phase JP Nagar,2 BHK,1164,2.0,56.0,Bengaluru
Electronic City Phase II,3 BHK,1395,2.0,62.78,Bengaluru
Arekere,3 BHK,2072,3.0,108.0,Bengaluru
Kanakpura Road,3 BHK,1450,3.0,60.91,Bengaluru
Bannerghatta Road,3 BHK,1550,3.0,82.0,Bengaluru
Sampige Layout,2 BHK,1315,2.0,90.0,Bengaluru
Hebbal,4 BHK,3067,4.0,230.0,Bengaluru
Amruthnagar,2 BHK,1210,2.0,72.0,Bengaluru
Bisuvanahalli,3 BHK,1075,2.0,47.0,Bengaluru
Sathya Sai Layout,6 BHK,11338,9.0,1000.0,Bengaluru
Virgonagar,3 BHK,1215,3.0,42.2,Bengaluru
Kaggadasapura,3 BHK,1470,2.0,75.0,Bengaluru
Dodsworth Layout,4 Bedroom,30000,4.0,2100.0,Bengaluru
Hosur Road,3 BHK,1590,2.0,125.0,Bengaluru
Kanakpura Road,2 BHK,1050,2.0,36.75,Bengaluru
Raja Rajeshwari Nagar,2 BHK,1306,2.0,55.91,Bengaluru
Malleshwaram,3 BHK,2000,3.0,250.0,Bengaluru
"Kudlu Village, ",3 BHK,1445,3.0,64.0,Bengaluru
Sarjapur  Road,3 BHK,1220,3.0,58.0,Bengaluru
Sarjapur,4 Bedroom,3190,3.0,160.0,Bengaluru
Ramagondanahalli,2 BHK,1215,2.0,51.26,Bengaluru
Budigere,3 BHK,1920,2.0,88.0,Bengaluru
Dodda Nekkundi,2 BHK,1390,2.0,60.0,Bengaluru
Battarahalli,3 Bedroom,800,2.0,75.0,Bengaluru
Nagarbhavi,3 Bedroom,600,3.0,100.0,Bengaluru
Hoodi,2 BHK,1196,2.0,71.74,Bengaluru
Bannerghatta Road,3 BHK,1550,2.0,75.0,Bengaluru
Thigalarapalya,2 BHK,1418,2.0,101.0,Bengaluru
Varthur Road,3 BHK,1655,3.0,115.0,Bengaluru
KR Puram,2 BHK,1115,2.0,33.45,Bengaluru
Rajiv Gandhi Nagar,2 BHK,1170,2.0,68.0,Bengaluru
Anekal,2 BHK,1035,2.0,38.3,Bengaluru
Singasandra,3 BHK,1306,2.0,58.0,Bengaluru
Kengeri,2 BHK,750,2.0,22.0,Bengaluru
Thanisandra,3 BHK,1917,3.0,122.0,Bengaluru
Kaggadasapura,3 BHK,1615,3.0,58.0,Bengaluru
Marathahalli,2 BHK,1071,2.0,52.25,Bengaluru
Koramangala,2 BHK,1325,2.0,119.0,Bengaluru
Malleshwaram,7 Bedroom,3000,4.0,900.0,Bengaluru
5th Phase JP Nagar,3 BHK,1400,2.0,88.0,Bengaluru
Tumkur Road,2 BHK,1246,2.0,82.0,Bengaluru
Sarjapur,2 BHK,1215,2.0,40.0,Bengaluru
Munnekollal,2 BHK,1200,2.0,49.5,Bengaluru
Kurubarahalli,4 Bedroom,450,3.0,53.0,Bengaluru
Kodigehaali,2 BHK,1200,2.0,60.0,Bengaluru
Kaval Byrasandra,2 BHK,945,2.0,50.0,Bengaluru
Benson Town,4 BHK,4460,5.0,650.0,Bengaluru
Hormavu,2 BHK,1175,2.0,52.0,Bengaluru
Whitefield,2 BHK,920,2.0,63.0,Bengaluru
Hosakerehalli,4 BHK,3024,5.0,350.0,Bengaluru
Bidadi,2 Bedroom,1600,2.0,110.0,Bengaluru
Sanjay nagar,4 Bedroom,750,2.0,110.0,Bengaluru
Sector 4 HSR Layout,4 Bedroom,2400,4.0,700.0,Bengaluru
Bhagyalakshmi Avenue,2 BHK,955,1.0,34.01,Bengaluru
Ardendale,3 BHK,1750,3.0,100.0,Bengaluru
Uttarahalli,3 BHK,1425,2.0,64.0,Bengaluru
Basavangudi,3 BHK,2150,3.0,265.0,Bengaluru
Whitefield,2 BHK,1165,2.0,40.5,Bengaluru
Kaggadasapura,2 BHK,1050,2.0,48.0,Bengaluru
Cholanayakanahalli,3 BHK,1370,2.0,75.0,Bengaluru
Electronic City,3 BHK,1374,2.0,72.0,Bengaluru
Harlur,3 BHK,1754,3.0,124.0,Bengaluru
Kothanur,3 BHK,1847,3.0,110.0,Bengaluru
Ambedkar Nagar,3 BHK,1850,4.0,139.0,Bengaluru
Chikka Tirupathi,3 Bedroom,3297,3.0,135.0,Bengaluru
Doddakannelli,2 BHK,1187,2.0,45.0,Bengaluru
Bommasandra Industrial Area,3 BHK,1400,2.0,40.44,Bengaluru
Kengeri Hobli,3 Bedroom,600,2.0,30.0,Bengaluru
Chamrajpet,2 BHK,1350,2.0,180.0,Bengaluru
Doddaballapur,3 Bedroom,3000,2.0,120.0,Bengaluru
Thanisandra,1 BHK,693,1.0,34.3,Bengaluru
Dairy Circle,3 BHK,1980,3.0,224.0,Bengaluru
KR Puram,2 BHK,1021,2.0,48.0,Bengaluru
Thigalarapalya,2 BHK,1165,2.0,95.0,Bengaluru
Horamavu Agara,3 BHK,1756,3.0,92.0,Bengaluru
Bharathi Nagar,3 BHK,1739,3.0,105.0,Bengaluru
Varthur,2 BHK,1280,2.0,65.0,Bengaluru
Marathahalli,2 BHK,1215,2.0,58.86,Bengaluru
Munnekollal,2 BHK,950,2.0,46.5,Bengaluru
Kengeri,3 BHK,1082,2.0,49.0,Bengaluru
7th Phase JP Nagar,2 BHK,1050,2.0,42.0,Bengaluru
Devanahalli,2 BHK,1080,2.0,53.35,Bengaluru
Arekere,2 BHK,1100,2.0,55.0,Bengaluru
Ardendale,4 Bedroom,3200,4.0,205.0,Bengaluru
Sarjapur  Road,2 BHK,1311,2.0,78.0,Bengaluru
Raja Rajeshwari Nagar,3 BHK,1608,3.0,67.98,Bengaluru
Begur Road,2 BHK,1160,2.0,36.0,Bengaluru
Whitefield,2 BHK,1170,2.0,71.0,Bengaluru
Kengeri,2 BHK,1155,2.0,40.6,Bengaluru
Hebbal,3 BHK,1255,2.0,77.68,Bengaluru
Rayasandra,2 BHK,1065,2.0,44.95,Bengaluru
Neeladri Nagar,1 BHK,674,1.0,21.0,Bengaluru
Ambedkar Nagar,3 BHK,1936,4.0,126.0,Bengaluru
Sarakki Nagar,3 BHK,2289,3.0,260.0,Bengaluru
Abbaiah Reddy Layout,2 BHK,1100,2.0,38.45,Bengaluru
Ramagondanahalli,3 BHK,2257,4.0,157.0,Bengaluru
Nagarbhavi,2 BHK,1055,2.0,55.0,Bengaluru
Raja Rajeshwari Nagar,3 BHK,1530,3.0,51.87,Bengaluru
Dinnur,3 BHK,1700,3.0,97.0,Bengaluru
Raja Rajeshwari Nagar,3 BHK,1575,2.0,78.0,Bengaluru
Frazer Town,3 BHK,3500,4.0,330.0,Bengaluru
Rajiv Nagar,2 BHK,1263,2.0,93.32,Bengaluru
KR Puram,3 BHK,1255 - 1863,3.0,69.315,Bengaluru
Kengeri Satellite Town,2 BHK,1043,2.0,65.0,Bengaluru
Hennur,2 BHK,1255,2.0,53.5,Bengaluru
JP Nagar,2 BHK,1300 - 1405,2.0,93.865,Bengaluru
Chandapura,1 BHK,590,1.0,13.57,Bengaluru
Yelahanka,3 Bedroom,1550,3.0,120.0,Bengaluru
Sarjapur  Road,3 BHK,1220,3.0,56.0,Bengaluru
Rustam Bagh Layout,3 BHK,1900,3.0,160.0,Bengaluru
Vasantha Vallabha Nagar,3 BHK,1360,3.0,55.0,Bengaluru
Vyalikaval,2 BHK,1100,2.0,75.0,Bengaluru
8th Phase JP Nagar,3 BHK,1455,3.0,73.31,Bengaluru
KR Puram,2 BHK,1035,2.0,40.5,Bengaluru
Harlur,2 BHK,1152,2.0,69.0,Bengaluru
Bellandur,2 BHK,1299,2.0,82.0,Bengaluru
Sarjapur  Road,3 BHK,1157,2.0,75.0,Bengaluru
Rachenahalli,2 BHK,1050,2.0,52.5,Bengaluru
Pai Layout,2 BHK,1050,2.0,40.0,Bengaluru
Vittasandra,2 BHK,1246,2.0,67.4,Bengaluru
"Sarjapur Road, ",3 BHK,1929,3.0,115.0,Bengaluru
Hennur,2 BHK,1285,2.0,60.0,Bengaluru
Margondanahalli,3 Bedroom,1200,2.0,65.0,Bengaluru
"Banaswadi, ",4 BHK,3161,4.0,214.0,Bengaluru
BTM 2nd Stage,3 BHK,1850,3.0,170.0,Bengaluru
Sompura,3 BHK,1025,2.0,37.0,Bengaluru
Malleshwaram,2 BHK,1124,3.0,80.0,Bengaluru
Balagere,2 BHK,1012,2.0,54.59,Bengaluru
Giri Nagar,7 BHK,4500,5.0,250.0,Bengaluru
8th Phase JP Nagar,2 BHK,871,2.0,55.0,Bengaluru
Chinnapanahalli,2 BHK,1020,2.0,40.0,Bengaluru
Rachenahalli,3 BHK,1550,3.0,73.5,Bengaluru
Anand Nagar,3 Bedroom,3515,3.0,420.0,Bengaluru
Akshaya Nagar,3 BHK,1410,2.0,80.0,Bengaluru
Chikka Tirupathi,4 Bedroom,3500,5.0,150.0,Bengaluru
Whitefield,2 BHK,1118,2.0,75.0,Bengaluru
Thanisandra,2 BHK,1098,2.0,68.0,Bengaluru
Kanakapura,2 BHK,1130,2.0,45.2,Bengaluru
Sarjapur  Road,2 BHK,1145,2.0,75.0,Bengaluru
Kadugodi,3 Bedroom,950,3.0,80.0,Bengaluru
Balaji Gardens Layout,2 BHK,1051,2.0,33.0,Bengaluru
Thavarekere,7 Bedroom,600,7.0,108.0,Bengaluru
Marathahalli,2 BHK,1102,2.0,53.67,Bengaluru
Jalahalli,2 BHK,1478,2.0,125.0,Bengaluru
Chandapura,1 BHK,645,1.0,16.45,Bengaluru
Hebbal,2 BHK,823,2.0,50.63,Bengaluru
Abbigere,2 BHK,880,2.0,35.0,Bengaluru
KR Puram,4 Bedroom,600,5.0,75.0,Bengaluru
Budigere,3 BHK,1991,4.0,100.0,Bengaluru
TC Palaya,3 BHK,1100,3.0,50.0,Bengaluru
Gubbalala,3 BHK,1745,3.0,115.0,Bengaluru
HAL 2nd Stage,2 BHK,1226,3.0,135.0,Bengaluru
Begur Road,3 Bedroom,680,4.0,68.0,Bengaluru
 Devarabeesana Halli,2 BHK,1100,2.0,70.0,Bengaluru
Banashankari Stage VI,4 Bedroom,1200,4.0,195.0,Bengaluru
5th Phase JP Nagar,2 BHK,1450,2.0,58.0,Bengaluru
Singasandra,4 BHK,3366,4.0,120.0,Bengaluru
Sahakara Nagar,2 BHK,1150,2.0,54.0,Bengaluru
Kanakpura Road,3 BHK,1843,3.0,95.84,Bengaluru
Banashankari Stage VI,4 Bedroom,2200,4.0,195.0,Bengaluru
Bommanahalli,2 BHK,1090,3.0,44.0,Bengaluru
Kaggadasapura,2 BHK,1132,2.0,42.0,Bengaluru
Hulimavu,2 BHK,1375,2.0,80.0,Bengaluru
7th Phase JP Nagar,4 Bedroom,1500,5.0,220.0,Bengaluru
Thanisandra,1 BHK,760,1.0,50.3,Bengaluru
Kaggadasapura,2 BHK,1180,2.0,65.0,Bengaluru
Jigani,2 BHK,918,2.0,45.0,Bengaluru
Rachenahalli,5 Bedroom,600,5.0,50.0,Bengaluru
Margondanahalli,2 Bedroom,1200,1.0,53.0,Bengaluru
HSR Layout,2 BHK,1372,2.0,61.0,Bengaluru
1st Block HRBR Layout,7 Bedroom,2400,7.0,355.0,Bengaluru
Ardendale,3 BHK,1728,3.0,95.0,Bengaluru
Malleshwaram,3 BHK,2215,3.0,275.0,Bengaluru
BTM 2nd Stage,2 BHK,1200,2.0,80.0,Bengaluru
6th Phase JP Nagar,2 BHK,1280,2.0,56.0,Bengaluru
Hulimavu,4 Bedroom,800,4.0,110.0,Bengaluru
Byrasandra,3 BHK,1455,2.0,56.0,Bengaluru
 Rachenahalli,1 RK,440,1.0,28.0,Bengaluru
Kanakpura Road,3 Bedroom,1500,3.0,97.0,Bengaluru
Whitefield,3 BHK,1800,3.0,110.0,Bengaluru
Mysore Road,3 BHK,1525,3.0,96.0,Bengaluru
Rachenahalli,2 BHK,1204,2.0,38.5,Bengaluru
Old Madras Road,2 BHK,1225,2.0,53.55,Bengaluru
Kalyan nagar,6 Bedroom,800,6.0,98.0,Bengaluru
Bannerghatta Road,3 BHK,1650,3.0,122.0,Bengaluru
Electronic City,3 BHK,880,2.0,18.0,Bengaluru
Bikasipura,4 Bedroom,4200,4.0,255.0,Bengaluru
Tippenahalli,2 Bedroom,1200,2.0,55.0,Bengaluru
Sarjapur  Road,4 Bedroom,1152,4.0,230.0,Bengaluru
9th Phase JP Nagar,2 BHK,1005,2.0,42.0,Bengaluru
Whitefield,3 BHK,1562,3.0,103.0,Bengaluru
Devanahalli,4 Bedroom,5000,5.0,395.0,Bengaluru
Babusapalaya,6 Bedroom,810,5.0,95.0,Bengaluru
Ramamurthy Nagar,2 BHK,1200,2.0,42.0,Bengaluru
Kasavanhalli,3 BHK,1555,3.0,82.5,Bengaluru
KR Puram,2 Bedroom,1550,2.0,71.0,Bengaluru
Whitefield,2 BHK,1190,2.0,67.0,Bengaluru
Chikkalasandra,2 BHK,1070,2.0,50.0,Bengaluru
Sarjapur  Road,,1200 - 2400,,28.785,Bengaluru
Jalahalli East,2 BHK,1020,2.0,42.48,Bengaluru
Yelahanka,3 BHK,1610,3.0,115.0,Bengaluru
Prestige Sunrise,1 BHK,700,1.0,41.0,Bengaluru
Akshaya Vana,3 BHK,1300,2.0,49.0,Bengaluru
Hebbal,2 BHK,1420,2.0,123.0,Bengaluru
Vidyaranyapura,9 Bedroom,1200,9.0,100.0,Bengaluru
Hebbal,3 BHK,1069,3.0,65.4,Bengaluru
Marathahalli,3 BHK,1900,3.0,123.0,Bengaluru
Old Airport Road,2 BHK,1655,2.0,97.65,Bengaluru
Uttarahalli,2 BHK,1155,2.0,40.42,Bengaluru
Sarjapur  Road,3 BHK,1300,2.0,70.0,Bengaluru
Electronic City,2 BHK,1100,2.0,45.0,Bengaluru
Doddathoguru,2 BHK,1030,2.0,42.0,Bengaluru
Vittasandra,2 BHK,2105,2.0,70.2,Bengaluru
Bhoganhalli,3 BHK,1700,3.0,126.0,Bengaluru
Jakkur,3 BHK,1760,3.0,139.0,Bengaluru
Kadugodi,9 Bedroom,6200,9.0,200.0,Bengaluru
1st Stage Indira Nagar,2 BHK,1400,2.0,67.0,Bengaluru
Srigandada Kaval,2 BHK,1200,2.0,53.0,Bengaluru
Bannerghatta Road,2 BHK,912,2.0,55.0,Bengaluru
Whitefield,2 BHK,1102,2.0,48.0,Bengaluru
Channasandra Layout,3 BHK,1535,3.0,55.0,Bengaluru
Haralur Road,2 BHK,1243,2.0,46.0,Bengaluru
Jigani,2 BHK,918,2.0,63.2,Bengaluru
Begur Road,3 BHK,1500,2.0,70.0,Bengaluru
Mathikere Extension,3 Bedroom,3000,3.0,250.0,Bengaluru
Kasavanhalli,3 BHK,1476,3.0,89.0,Bengaluru
Mysore Road,2 BHK,1200,2.0,65.0,Bengaluru
Vijayanagar,1 BHK,606,1.0,34.78,Bengaluru
Viswajit Layout,2 BHK,1100,2.0,61.0,Bengaluru
Garudachar Palya,3 BHK,1295,2.0,59.5,Bengaluru
Neeladri Nagar,1 BHK,527,1.0,26.0,Bengaluru
OMBR Layout,2 BHK,1300,2.0,80.0,Bengaluru
Bommanahalli,3 Bedroom,680,4.0,68.0,Bengaluru
Adityanagar,1 Bedroom,1260,1.0,41.0,Bengaluru
Koramangala,2 BHK,1140,2.0,75.2,Bengaluru
BDS Layout,1 Bedroom,1500,1.0,37.5,Bengaluru
Whitefield,3 BHK,2321,4.0,128.0,Bengaluru
Sarjapur  Road,2 BHK,1390,2.0,62.0,Bengaluru
Sarjapur  Road,3 BHK,1725,3.0,90.0,Bengaluru
Hebbal,4 BHK,3067,4.0,310.0,Bengaluru
Hennur Road,3 BHK,1186,2.0,63.0,Bengaluru
Kanakpura Road,2 BHK,1230,2.0,85.0,Bengaluru
 Mysore Highway,1 BHK,600,1.0,17.0,Bengaluru
Yeshwanthpur,3 BHK,1313,3.0,96.0,Bengaluru
TC Palaya,2 Bedroom,900,2.0,55.0,Bengaluru
Ambalipura,2 BHK,1250,2.0,66.25,Bengaluru
HBR Layout,9 Bedroom,1200,6.0,280.0,Bengaluru
Binny Pete,1 BHK,660,1.0,54.0,Bengaluru
Basavangudi,2 BHK,1036,2.0,105.0,Bengaluru
Koramangala,4 BHK,2700,4.0,450.0,Bengaluru
Old Madras Road,2 BHK,1100,2.0,70.0,Bengaluru
Devanahalli,,1500 - 2400,,46.8,Bengaluru
BTM 2nd Stage,4 Bedroom,1500,2.0,450.0,Bengaluru
Singasandra,4 Bedroom,525,5.0,56.0,Bengaluru
Electronics City Phase 1,2 BHK,1015,2.0,56.0,Bengaluru
Gottigere,1 Bedroom,812,1.0,26.0,Bengaluru
Narayana Nagar 1st Block,3 BHK,1360,2.0,65.0,Bengaluru
Nehru Nagar,3 BHK,2167,3.0,170.0,Bengaluru
Raja Rajeshwari Nagar,2 BHK,1200,2.0,35.0,Bengaluru
Gopalkrishna Nagar,2 BHK,1165,2.0,75.0,Bengaluru
BTM 2nd Stage,2 BHK,1274,2.0,70.0,Bengaluru
Raja Rajeshwari Nagar,2 BHK,1151,2.0,39.02,Bengaluru
Vidyaranyapura,6 Bedroom,1060,6.0,110.0,Bengaluru
Thubarahalli,3 BHK,1626,2.0,120.0,Bengaluru
Banashankari Stage V,2 BHK,1035,2.0,35.77,Bengaluru
Shanthi Layout,3 Bedroom,1272,4.0,75.0,Bengaluru
Jeevan bima nagar,2 BHK,965,2.0,45.0,Bengaluru
Esther Enclave Layout,5 Bedroom,1600,5.0,140.0,Bengaluru
Kothannur,2 BHK,1070,2.0,42.79,Bengaluru
Raja Rajeshwari Nagar,3 BHK,1570,2.0,65.0,Bengaluru
Volagerekallahalli,2 BHK,117Sq. Yards,2.0,38.0,Bengaluru
Keerthi Layout,2 BHK,780,2.0,25.0,Bengaluru
Ganga Nagar Extension,3 BHK,1000,2.0,65.0,Bengaluru
9th Phase JP Nagar,4 Bedroom,1200,3.0,188.0,Bengaluru
Tindlu,7 Bedroom,7500,7.0,400.0,Bengaluru
5th Phase JP Nagar,3 BHK,1700,2.0,100.0,Bengaluru
Haralur Road,3 BHK,1850,3.0,110.0,Bengaluru
Kereguddadahalli,2 BHK,904,2.0,30.0,Bengaluru
Shikaripalya,2 BHK,1121,2.0,43.72,Bengaluru
7th Phase JP Nagar,3 BHK,1385,2.0,58.17,Bengaluru
Sahakara Nagar,2 BHK,1270,2.0,69.85,Bengaluru
Kanakpura Road,3 BHK,1450,3.0,56.0,Bengaluru
Huttanahalli,3 Bedroom,2400,4.0,325.0,Bengaluru
Mahadevpura,1 BHK,730,1.0,35.0,Bengaluru
Raja Rajeshwari Nagar,3 BHK,1580,3.0,53.56,Bengaluru
Thanisandra,2 BHK,1111,2.0,50.0,Bengaluru
Kengeri,4 Bedroom,1125,2.0,88.0,Bengaluru
Varthur,2 BHK,977,2.0,36.0,Bengaluru
Gunjur Palya,2 BHK,674,1.0,19.9,Bengaluru
Nagarbhavi,3 Bedroom,600,3.0,83.0,Bengaluru
Sarjapur,4 Bedroom,2540,4.0,115.0,Bengaluru
Jakkur,2 BHK,1290,2.0,100.0,Bengaluru
Kumaraswami Layout,3 Bedroom,600,3.0,98.0,Bengaluru
Abbigere,2 BHK,795,2.0,32.54,Bengaluru
Kanakpura Road,2 BHK,700,1.0,35.0,Bengaluru
Ambedkar Colony,2 BHK,1463,1.0,142.0,Bengaluru
Vijayanagar,3 Bedroom,1000,3.0,140.0,Bengaluru
Reliable Woods Layout,3 BHK,1306,2.0,58.0,Bengaluru
4th T block Jayanagar,3 BHK,2401,3.0,185.0,Bengaluru
Bommenahalli,4 Bedroom,1670,3.0,135.0,Bengaluru
Jayanagar,3 BHK,1875,2.0,235.0,Bengaluru
Marsur,3 Bedroom,1200,3.0,90.0,Bengaluru
Dodda Nekkundi,3 BHK,1804,3.0,121.0,Bengaluru
1st Phase JP Nagar,3 BHK,2065,4.0,210.0,Bengaluru
Hoskote,3 BHK,1225,3.0,40.0,Bengaluru
Thanisandra,2 BHK,934 - 1437,2.0,58.68,Bengaluru
Bellandur,2 BHK,900,2.0,56.0,Bengaluru
Binny Pete,2 BHK,1350,2.0,91.0,Bengaluru
Kaggalipura,1 BHK,700,1.0,36.0,Bengaluru
Mysore Road,2 BHK,980 - 1030,2.0,35.175,Bengaluru
Poorna Pragna Layout,2 BHK,1160,2.0,46.39,Bengaluru
Hennur Road,3 BHK,1680,3.0,99.27,Bengaluru
LB Shastri Nagar,2 BHK,1043,2.0,55.0,Bengaluru
Hoskote,4 Bedroom,1200,4.0,120.0,Bengaluru
Hebbal,2 BHK,1040,2.0,46.0,Bengaluru
Tindlu,3 BHK,1357,2.0,65.0,Bengaluru
Nayandanahalli,7 Bedroom,1600,7.0,104.0,Bengaluru
Vibhutipura Extension,2 BHK,1225,2.0,47.0,Bengaluru
Sunkadakatte,9 Bedroom,1500,6.0,80.0,Bengaluru
Yelachenahalli,2 BHK,1130,2.0,40.0,Bengaluru
Basavangudi,4 Bedroom,2500,4.0,150.0,Bengaluru
Sultan Palaya,3 BHK,1700,3.0,120.0,Bengaluru
Doddathoguru,3 BHK,1549,3.0,65.0,Bengaluru
Yeshwanthpur,2 BHK,1400,2.0,100.0,Bengaluru
Dodda Nekkundi,2 BHK,1080,2.0,50.0,Bengaluru
Ulsoor,2 BHK,1180,2.0,100.0,Bengaluru
Chandra Layout,7 Bedroom,780,7.0,150.0,Bengaluru
Domlur,3 BHK,1800,3.0,150.0,Bengaluru
Haralur Road,2 BHK,1225,2.0,67.38,Bengaluru
Chandra Layout,1 BHK,890,1.0,75.0,Bengaluru
Abbigere,2 BHK,1005,2.0,39.59,Bengaluru
Whitefield,2 BHK,1320,2.0,95.0,Bengaluru
Anandapura,4 BHK,1475,2.0,50.0,Bengaluru
Kudlu Gate,3 BHK,1564 - 1850,,99.745,Bengaluru
Hagadur,2 BHK,1110,2.0,51.0,Bengaluru
Popular Colony,2 Bedroom,1300,2.0,54.0,Bengaluru
Vajarahalli,5 Bedroom,600,3.0,86.0,Bengaluru
Electronic City,2 BHK,1128,2.0,65.35,Bengaluru
Jakkur,2 BHK,1452.19,2.0,100.0,Bengaluru
