location,size,total_sqft,bath,price,Place,bhk
Velachery,2 bhk,1616,1,100.9416,Chennai,2
Anna Nagar,1 bhk,1531,1,174.8055,Chennai,1
Anna Nagar,1 bhk,1636,1,133.8053,Chennai,1
KK Nagar,3 bhk,1997,2,164.695,Chennai,3
Chrompet,1 bhk,915,1,81.333,Chennai,1
Adyar,1 bhk,1046,1,107.6022,Chennai,1
KK Nagar,2 bhk,1465,1,101.4818,Chennai,2
KK Nagar,2 bhk,1399,1,106.9534,Chennai,2
Chrompet,1 bhk,1126,1,88.8272,Chennai,1
Karapakkam,2 bhk,1368,2,67.7475,Chennai,2
Chrompet,1 bhk,709,1,64.353,Chennai,1
T Nagar,1 bhk,1550,1,111.0923,Chennai,1
Velachery,3 bhk,1882,2,142.3922,Chennai,3
Anna Nagar,1 bhk,1538,1,113.1292,Chennai,1
Velachery,3 bhk,1881,2,144.9577,Chennai,3
Adyar,1 bhk,641,1,99.47855,Chennai,1
Anna Nagar,2 bhk,1912,1,123.6484,Chennai,2
Chrompet,1 bhk,1194,1,136.8365,Chennai,1
Karapakkam,2 bhk,1502,2,93.2825,Chennai,2
Anna Nagar,1 bhk,1649,1,188.0365,Chennai,1
Karapakkam,1 bhk,854,1,75.8175,Chennai,1
KK Nagar,4 bhk,2388,2,120.1452,Chennai,4
Karapakkam,2 bhk,1381,2,82.8625,Chennai,2
Chrompet,1 bhk,838,1,121.9455,Chennai,1
KK Nagar,2 bhk,1684,1,149.9484,Chennai,2
Anna Nagar,1 bhk,1740,1,136.9597,Chennai,1
T Nagar,2 bhk,1918,1,207.4753,Chennai,2
Karapakkam,1 bhk,669,1,51.10125,Chennai,1
Chrompet,1 bhk,965,1,96.253,Chennai,1
Velachery,3 bhk,1899,2,84.3341,Chennai,3
Velachery,2 bhk,1553,1,67.6643,Chennai,2
Karapakkam,1 bhk,976,1,68.955,Chennai,1
Anna Nagar,1 bhk,1628,1,126.5155,Chennai,1
Chrompet,1 bhk,894,1,90.3878,Chennai,1
Anna Nagar,1 bhk,1734,1,104.9758,Chennai,1
Karapakkam,1 bhk,662,1,50.735,Chennai,1
Adyar,1 bhk,994,1,108.3488,Chennai,1
Chrompet,1 bhk,1033,1,117.188,Chennai,1
Karapakkam,2 bhk,1462,2,43.615,Chennai,2
Anna Nagar,1 bhk,1662,1,190.7483,Chennai,1
KK Nagar,3 bhk,1865,2,98.5936,Chennai,3
Karapakkam,1 bhk,1042,1,52.6525,Chennai,1
Chrompet,1 bhk,828,1,75.5306,Chennai,1
Chrompet,1 bhk,850,1,71.2375,Chennai,1
Karapakkam,2 bhk,1562,2,113.59,Chennai,2
KK Nagar,2 bhk,1425,1,97.621,Chennai,2
Anna Nagar,2 bhk,1813,1,123.7055,Chennai,2
Velachery,3 bhk,1973,2,89.6297,Chennai,3
Anna Nagar,1 bhk,1558,1,108.4176,Chennai,1
Velachery,2 bhk,1702,1,101.407,Chennai,2
T Nagar,1 bhk,1781,1,179.5901,Chennai,1
T Nagar,1 bhk,1538,1,177.4932,Chennai,1
Velachery,3 bhk,1906,2,166.027,Chennai,3
Anna Nagar,1 bhk,1782,1,149.8026,Chennai,1
Adyar,1 bhk,848,1,114.7683,Chennai,1
Chrompet,1 bhk,737,1,102.762,Chennai,1
T Nagar,1 bhk,1512,1,137.3761,Chennai,1
KK Nagar,3 bhk,1956,2,113.7392,Chennai,3
KK Nagar,2 bhk,1402,1,130.8558,Chennai,2
Chrompet,1 bhk,779,1,75.7483,Chennai,1
Anna Nagar,1 bhk,1625,1,120.8547,Chennai,1
Anna Nagar,1 bhk,1724,1,123.3754,Chennai,1
KK Nagar,4 bhk,2277,2,133.1052,Chennai,4
T Nagar,1 bhk,1692,1,136.6991,Chennai,1
Chrompet,1 bhk,1184,1,138.6065,Chennai,1
Karapakkam,1 bhk,657,1,36.43875,Chennai,1
Chrompet,1 bhk,942,1,77.6655,Chennai,1
Velachery,2 bhk,1535,1,142.1185,Chennai,2
Chrompet,1 bhk,966,1,132.3185,Chennai,1
Karapakkam,1 bhk,1294,1,91.6075,Chennai,1
KK Nagar,3 bhk,2042,2,118.4852,Chennai,3
Adyar,1 bhk,1110,1,85.6106,Chennai,1
Chrompet,1 bhk,819,1,81.319,Chennai,1
Chrompet,1 bhk,1132,1,137.097,Chennai,1
Adyar,1 bhk,900,1,101.2844,Chennai,1
KK Nagar,4 bhk,2486,2,196.1598,Chennai,4
Karapakkam,1 bhk,896,1,67.655,Chennai,1
Velachery,2 bhk,1749,1,153.8861,Chennai,2
Chrompet,2 bhk,1252,1,149.0245,Chennai,2
Chrompet,2 bhk,1234,1,138.2215,Chennai,2
KK Nagar,4 bhk,2306,2,113.1928,Chennai,4
Chrompet,1 bhk,814,1,88.9093,Chennai,1
Chrompet,1 bhk,878,1,92.0936,Chennai,1
Chrompet,1 bhk,1053,1,132.174,Chennai,1
T Nagar,2 bhk,1809,1,200.3451,Chennai,2
Anna Nagar,2 bhk,1871,1,149.0422,Chennai,2
Chrompet,1 bhk,802,1,97.217,Chennai,1
Chrompet,1 bhk,1191,1,98.9405,Chennai,1
Adyar,1 bhk,1025,1,108.4361,Chennai,1
KK Nagar,2 bhk,1392,1,122.8636,Chennai,2
KK Nagar,4 bhk,2499,2,133.9792,Chennai,4
Karapakkam,1 bhk,1290,1,87.005,Chennai,1
Anna Nagar,1 bhk,1760,1,203.4635,Chennai,1
Chrompet,2 bhk,1279,1,97.9573,Chennai,2
Chrompet,1 bhk,816,1,100.081,Chennai,1
T Nagar,2 bhk,1904,1,208.3852,Chennai,2
KK Nagar,2 bhk,1502,1,126.1446,Chennai,2
Chrompet,1 bhk,922,1,86.3464,Chennai,1
T Nagar,1 bhk,1781,1,205.1875,Chennai,1
Adyar,1 bhk,645,1,87.9348,Chennai,1
Chrompet,1 bhk,1142,1,128.073,Chennai,1
T Nagar,1 bhk,1674,1,104.1013,Chennai,1
Adyar,1 bhk,781,1,111.5778,Chennai,1
Adyar,2 bhk,1274,2,93.3505,Chennai,2
Karapakkam,1 bhk,687,1,59.13625,Chennai,1
T Nagar,2 bhk,1886,1,146.7117,Chennai,2
T Nagar,1 bhk,1598,1,200.2411,Chennai,1
Karapakkam,1 bhk,593,1,64.7425,Chennai,1
Anna Nagar,2 bhk,1815,1,198.1428,Chennai,2
Karapakkam,1 bhk,1121,1,58.49125,Chennai,1
Chrompet,1 bhk,1182,1,100.9794,Chennai,1
Anna Nagar,2 bhk,1864,1,128.6759,Chennai,2
KK Nagar,3 bhk,2125,2,166.5656,Chennai,3
Chrompet,1 bhk,955,1,97.437,Chennai,1
Velachery,2 bhk,1625,1,137.1894,Chennai,2
Chrompet,1 bhk,864,1,125.5665,Chennai,1
Chrompet,1 bhk,1183,1,104.5396,Chennai,1
Karapakkam,1 bhk,938,1,49.185,Chennai,1
Karapakkam,1 bhk,1040,1,76.005,Chennai,1
Chrompet,1 bhk,849,1,116.506,Chennai,1
Karapakkam,1 bhk,914,1,66.88,Chennai,1
Karapakkam,1 bhk,1156,1,89.4775,Chennai,1
Chrompet,1 bhk,830,1,108.5885,Chennai,1
KK Nagar,2 bhk,1655,1,98.4358,Chennai,2
KK Nagar,2 bhk,1693,1,100.218,Chennai,2
Chrompet,1 bhk,1014,1,130.9165,Chennai,1
Chrompet,1 bhk,1148,1,81.7915,Chennai,1
KK Nagar,4 bhk,2453,2,137.2904,Chennai,4
KK Nagar,3 bhk,2167,2,124.7724,Chennai,3
Karapakkam,2 bhk,1404,2,91.465,Chennai,2
T Nagar,1 bhk,1545,1,139.8692,Chennai,1
Velachery,2 bhk,1634,1,81.779,Chennai,2
Chrompet,2 bhk,1268,1,109.8265,Chennai,2
KK Nagar,2 bhk,1682,1,122.3916,Chennai,2
Velachery,2 bhk,1787,1,96.4018,Chennai,2
Karapakkam,2 bhk,1337,2,79.53125,Chennai,2
Adyar,1 bhk,695,1,61.4941,Chennai,1
Anna Nagar,2 bhk,1930,1,130.6078,Chennai,2
Chrompet,1 bhk,1042,1,105.8104,Chennai,1
T Nagar,1 bhk,1613,1,175.3842,Chennai,1
Karapakkam,1 bhk,1270,1,89.535,Chennai,1
Chrompet,1 bhk,997,1,120.562,Chennai,1
Chrompet,1 bhk,726,1,62.8065,Chennai,1
Velachery,3 bhk,1853,2,100.1778,Chennai,3
Velachery,2 bhk,1591,1,83.5383,Chennai,2
Anna Nagar,2 bhk,1980,1,143.3279,Chennai,2
KK Nagar,4 bhk,2226,2,116.704,Chennai,4
Adyar,1 bhk,808,1,119.49085,Chennai,1
Karapakkam,2 bhk,1376,2,81.0525,Chennai,2
T Nagar,2 bhk,1868,1,200.3345,Chennai,2
Karapakkam,1 bhk,1311,1,65.3225,Chennai,1
Adyar,1 bhk,805,1,89.34405,Chennai,1
Chrompet,1 bhk,706,1,78.1897,Chennai,1
Karapakkam,2 bhk,1464,2,62.7275,Chennai,2
Adyar,1 bhk,648,1,103.7421,Chennai,1
Velachery,3 bhk,1917,2,110.8152,Chennai,3
Adyar,1 bhk,1018,1,92.1332,Chennai,1
Anna Nagar,1 bhk,1694,1,188.5525,Chennai,1
Chrompet,1 bhk,1112,1,133.6365,Chennai,1
Karapakkam,1 bhk,950,1,64.0875,Chennai,1
Adyar,2 bhk,1282,2,109.3417,Chennai,2
Velachery,2 bhk,1639,1,70.1684,Chennai,2
KK Nagar,2 bhk,1501,1,106.8168,Chennai,2
Chrompet,1 bhk,765,1,57.37,Chennai,1
Anna Nagar,1 bhk,1765,1,136.6885,Chennai,1
Karapakkam,2 bhk,1518,2,65.97,Chennai,2
KK Nagar,4 bhk,2417,2,114.3612,Chennai,4
Karapakkam,1 bhk,1070,1,50.4675,Chennai,1
T Nagar,1 bhk,1784,1,148.1956,Chennai,1
Chrompet,1 bhk,1188,1,97.9751,Chennai,1
Karapakkam,2 bhk,1494,2,81.88,Chennai,2
T Nagar,2 bhk,1810,1,204.4149,Chennai,2
Karapakkam,1 bhk,738,1,67.99,Chennai,1
KK Nagar,2 bhk,1564,1,100.1936,Chennai,2
Karapakkam,1 bhk,1211,1,85.05,Chennai,1
Velachery,2 bhk,1662,1,133.8434,Chennai,2
Velachery,2 bhk,1530,1,108.5118,Chennai,2
Adyar,1 bhk,909,1,83.1059,Chennai,1
Adyar,1 bhk,690,1,74.86235,Chennai,1
Chrompet,1 bhk,780,1,70.6,Chennai,1
Chrompet,1 bhk,1195,1,102.105,Chennai,1
Karapakkam,2 bhk,1428,2,131.805,Chennai,2
Adyar,1 bhk,746,1,63.9069,Chennai,1
Adyar,1 bhk,921,1,71.7825,Chennai,1
Adyar,1 bhk,607,1,53.83105,Chennai,1
Adyar,1 bhk,712,1,69.78025,Chennai,1
KK Nagar,4 bhk,2312,2,125.698,Chennai,4
Velachery,3 bhk,1809,2,112.6947,Chennai,3
T Nagar,2 bhk,1872,1,148.2292,Chennai,2
KK Nagar,4 bhk,2286,2,134.0312,Chennai,4
Karapakkam,2 bhk,1648,2,53.14,Chennai,2
Anna Nagar,1 bhk,1522,1,115.845,Chennai,1
Chrompet,1 bhk,919,1,121.5765,Chennai,1
T Nagar,2 bhk,1858,1,126.9563,Chennai,2
Chrompet,1 bhk,1082,1,129.443,Chennai,1
Karapakkam,2 bhk,1338,2,73.8475,Chennai,2
Karapakkam,2 bhk,1559,2,57.49,Chennai,2
Karapakkam,1 bhk,860,1,60.6325,Chennai,1
Velachery,2 bhk,1769,1,96.2668,Chennai,2
Chrompet,1 bhk,1197,1,92.731,Chennai,1
Velachery,3 bhk,1971,2,155.5971,Chennai,3
Velachery,3 bhk,1966,2,96.6504,Chennai,3
KK Nagar,3 bhk,2176,2,117.5194,Chennai,3
Karapakkam,2 bhk,1519,2,56.86125,Chennai,2
KK Nagar,3 bhk,1892,2,115.267,Chennai,3
Chrompet,1 bhk,786,1,69.008,Chennai,1
Chrompet,1 bhk,942,1,98.2404,Chennai,1
Karapakkam,2 bhk,1344,2,75.2475,Chennai,2
Karapakkam,1 bhk,943,1,71.02125,Chennai,1
Chrompet,1 bhk,1098,1,89.0165,Chennai,1
Karapakkam,1 bhk,1190,1,64.9975,Chennai,1
Velachery,2 bhk,1590,1,96.3722,Chennai,2
Karapakkam,1 bhk,1040,1,95.67,Chennai,1
KK Nagar,2 bhk,1524,1,98.9062,Chennai,2
Chrompet,1 bhk,1132,1,83.5685,Chennai,1
Anna Nagar,1 bhk,1699,1,192.9726,Chennai,1
Chrompet,2 bhk,1204,1,100.9648,Chennai,2
Adyar,1 bhk,1003,1,137.09595,Chennai,1
Anna Nagar,1 bhk,1610,1,123.648,Chennai,1
Velachery,3 bhk,1869,2,80.7463,Chennai,3
Anna Nagar,1 bhk,1676,1,203.0213,Chennai,1
Adyar,1 bhk,929,1,94.94835,Chennai,1
Karapakkam,1 bhk,1265,1,89.70625,Chennai,1
T Nagar,1 bhk,1585,1,175.5617,Chennai,1
Chrompet,1 bhk,729,1,98.604,Chennai,1
T Nagar,2 bhk,1882,1,122.3587,Chennai,2
Adyar,1 bhk,912,1,93.5024,Chennai,1
KK Nagar,3 bhk,2147,2,171.8056,Chennai,3
Chrompet,1 bhk,898,1,129.068,Chennai,1
Velachery,3 bhk,1979,2,159.6559,Chennai,3
Karapakkam,2 bhk,1398,2,74.4325,Chennai,2
Karapakkam,1 bhk,942,1,58.95,Chennai,1
Karapakkam,2 bhk,1504,2,78.68,Chennai,2
Chrompet,1 bhk,821,1,87.0775,Chennai,1
Adyar,1 bhk,1045,1,113.298,Chennai,1
Chrompet,1 bhk,1149,1,83.1845,Chennai,1
Anna Nagar,1 bhk,1666,1,130.0959,Chennai,1
Karapakkam,1 bhk,1210,1,83.3325,Chennai,1
Velachery,2 bhk,1523,1,80.7862,Chennai,2
Chrompet,1 bhk,891,1,106.7435,Chennai,1
T Nagar,2 bhk,1955,1,223.0267,Chennai,2
Chrompet,1 bhk,1191,1,107.4912,Chennai,1
KK Nagar,2 bhk,1641,1,95.7512,Chennai,2
Chrompet,1 bhk,740,1,75.255,Chennai,1
Velachery,2 bhk,1588,1,113.8545,Chennai,2
Karapakkam,1 bhk,1272,1,75.44,Chennai,1
Chrompet,1 bhk,879,1,121.774,Chennai,1
Chrompet,2 bhk,1228,1,100.7111,Chennai,2
Karapakkam,1 bhk,946,1,79.2225,Chennai,1
Karapakkam,1 bhk,867,1,76.9125,Chennai,1
Velachery,3 bhk,1932,2,77.3362,Chennai,3
Velachery,2 bhk,1617,1,130.1474,Chennai,2
KK Nagar,3 bhk,2179,2,184.8576,Chennai,3
Karapakkam,1 bhk,1040,1,44.3775,Chennai,1
Karapakkam,1 bhk,950,1,80.475,Chennai,1
Karapakkam,2 bhk,1354,2,51.3125,Chennai,2
Velachery,2 bhk,1739,1,117.3019,Chennai,2
Adyar,1 bhk,935,1,116.7905,Chennai,1
Karapakkam,2 bhk,1484,2,67.9075,Chennai,2
KK Nagar,3 bhk,2182,2,117.7456,Chennai,3
Anna Nagar,1 bhk,1711,1,115.2387,Chennai,1
Chrompet,1 bhk,886,1,69.5682,Chennai,1
Velachery,2 bhk,1760,1,166.1643,Chennai,2
Chrompet,2 bhk,1283,1,96.0675,Chennai,2
Karapakkam,1 bhk,1155,1,61.2525,Chennai,1
Karapakkam,1 bhk,752,1,58.0725,Chennai,1
KK Nagar,3 bhk,1888,2,118.0584,Chennai,3
Chrompet,2 bhk,1211,1,132.617,Chennai,2
Karapakkam,1 bhk,1248,1,57.1025,Chennai,1
KK Nagar,3 bhk,1892,2,169.6754,Chennai,3
Adyar,1 bhk,1030,1,57.43315,Chennai,1
Chrompet,2 bhk,1254,1,90.9533,Chennai,2
KK Nagar,2 bhk,1762,1,148.2658,Chennai,2
Karapakkam,2 bhk,1622,2,111.6875,Chennai,2
Chrompet,1 bhk,951,1,112.647,Chennai,1
Anna Nagar,2 bhk,1981,1,206.9718,Chennai,2
Karapakkam,2 bhk,1628,2,60.0825,Chennai,2
Chrompet,1 bhk,797,1,71.4285,Chennai,1
Karapakkam,2 bhk,1587,2,112.68,Chennai,2
Chrompet,1 bhk,1081,1,113.1895,Chennai,1
Anna Nagar,2 bhk,1895,1,143.5847,Chennai,2
Chrompet,1 bhk,973,1,121.738,Chennai,1
Chrompet,1 bhk,844,1,93.1945,Chennai,1
Chrompet,1 bhk,965,1,65.98,Chennai,1
Velachery,2 bhk,1742,1,85.3961,Chennai,2
KK Nagar,1 bhk,1304,1,107.7998,Chennai,1
T Nagar,1 bhk,1510,1,112.2093,Chennai,1
T Nagar,2 bhk,1888,1,210.1481,Chennai,2
Anna Nagar,1 bhk,1540,1,191.4298,Chennai,1
Karapakkam,1 bhk,1023,1,73.10375,Chennai,1
Karapakkam,1 bhk,798,1,75.065,Chennai,1
Anna Nagar,1 bhk,1624,1,130.9913,Chennai,1
KK Nagar,2 bhk,1612,1,85.9974,Chennai,2
T Nagar,1 bhk,1723,1,140.2872,Chennai,1
Chrompet,1 bhk,950,1,118.7325,Chennai,1
T Nagar,2 bhk,1919,1,204.9643,Chennai,2
T Nagar,1 bhk,1528,1,142.0326,Chennai,1
Karapakkam,1 bhk,1081,1,59.4025,Chennai,1
Chrompet,1 bhk,1002,1,102.3224,Chennai,1
Chrompet,1 bhk,937,1,90.372,Chennai,1
KK Nagar,4 bhk,2372,2,138.5104,Chennai,4
Chrompet,2 bhk,1237,1,133.313,Chennai,2
Chrompet,2 bhk,1242,1,138.9695,Chennai,2
Velachery,2 bhk,1700,1,73.2629,Chennai,2
KK Nagar,4 bhk,2422,2,125.329,Chennai,4
Chrompet,1 bhk,801,1,73.853,Chennai,1
Velachery,2 bhk,1503,1,107.6937,Chennai,2
Anna Nagar,1 bhk,1549,1,185.3193,Chennai,1
Adyar,1 bhk,606,1,86.0534,Chennai,1
Chrompet,2 bhk,1277,1,101.501,Chennai,2
Chrompet,1 bhk,791,1,95.251,Chennai,1
T Nagar,2 bhk,1878,1,207.3463,Chennai,2
Karapakkam,1 bhk,806,1,72.1075,Chennai,1
T Nagar,1 bhk,1543,1,190.8343,Chennai,1
KK Nagar,2 bhk,1363,1,125.72,Chennai,2
T Nagar,1 bhk,1584,1,111.7322,Chennai,1
Anna Nagar,1 bhk,1794,1,209.4046,Chennai,1
Karapakkam,1 bhk,704,1,69.655,Chennai,1
Anna Nagar,1 bhk,1531,1,117.7981,Chennai,1
Chrompet,1 bhk,1003,1,97.7811,Chennai,1
Chrompet,1 bhk,1010,1,97.73,Chennai,1
Anna Nagar,1 bhk,1794,1,126.5363,Chennai,1
KK Nagar,2 bhk,1756,1,106.308,Chennai,2
Adyar,1 bhk,1188,1,141.9664,Chennai,1
Chrompet,1 bhk,1164,1,128.7365,Chennai,1
T Nagar,2 bhk,1851,1,136.9872,Chennai,2
Chrompet,1 bhk,1176,1,108.8137,Chennai,1
KK Nagar,2 bhk,1503,1,113.2776,Chennai,2
Karapakkam,2 bhk,1621,2,88.92625,Chennai,2
Karapakkam,1 bhk,883,1,50.57875,Chennai,1
Chrompet,2 bhk,1257,1,94.8195,Chennai,2
Karapakkam,1 bhk,552,1,49.5025,Chennai,1
Anna Nagar,2 bhk,1803,1,129.939,Chennai,2
Karapakkam,1 bhk,721,1,64.5325,Chennai,1
Velachery,2 bhk,1573,1,85.4501,Chennai,2
Chrompet,1 bhk,723,1,87.2565,Chennai,1
Chrompet,1 bhk,1148,1,104.3711,Chennai,1
KK Nagar,2 bhk,1513,1,95.0732,Chennai,2
Chrompet,1 bhk,951,1,78.628,Chennai,1
KK Nagar,4 bhk,2449,2,120.8428,Chennai,4
TNagar,1 bhk,1597,1,125.6944,Chennai,1
Karapakkam,1 bhk,1058,1,70.2075,Chennai,1
Karapakkam,2 bhk,1438,2,65.055,Chennai,2
Karapakkam,2 bhk,1616,2,58.2925,Chennai,2
Adyar,1 bhk,632,1,117.1972,Chennai,1
Chrompet,1 bhk,953,1,88.011,Chennai,1
KK Nagar,2 bhk,1714,1,94.7034,Chennai,2
KK Nagar,2 bhk,1334,1,118.1372,Chennai,2
Anna Nagar,1 bhk,1770,1,198.4487,Chennai,1
Karapakkam,1 bhk,1098,1,64.65,Chennai,1
Chrompet,1 bhk,1010,1,92.0735,Chennai,1
Karapakkam,1 bhk,1195,1,107.955,Chennai,1
Adyar,1 bhk,624,1,53.78,Chennai,1
Chrompet,2 bhk,1272,1,100.3014,Chennai,2
KK Nagar,1 bhk,1324,1,91.4048,Chennai,1
KK Nagar,4 bhk,2424,2,187.9678,Chennai,4
KK Nagar,2 bhk,1438,1,134.4432,Chennai,2
Adyar,1 bhk,701,1,117.64865,Chennai,1
Chrompet,2 bhk,1236,1,112.4052,Chennai,2
Velachery,2 bhk,1744,1,76.7018,Chennai,2
Chrompet,1 bhk,1078,1,83.7271,Chennai,1
Chrompet,1 bhk,901,1,94.913,Chennai,1
Velachery,2 bhk,1669,1,138.5275,Chennai,2
Adyar,1 bhk,1073,1,95.3712,Chennai,1
Karapakkam,1 bhk,1273,1,110.26,Chennai,1
Adyar,2 bhk,1235,2,131.5818,Chennai,2
Karapakkam,2 bhk,1400,2,61.9575,Chennai,2
Anna Nagar,1 bhk,1598,1,114.5047,Chennai,1
Anna Nagar,2 bhk,1819,1,137.6302,Chennai,2
Adyar,1 bhk,902,1,121.33045,Chennai,1
Adyar,1 bhk,795,1,99.54125,Chennai,1
KK Nagar,2 bhk,1763,1,153.2924,Chennai,2
Velachery,3 bhk,1848,2,144.4547,Chennai,3
Chrompet,2 bhk,1288,1,157.8055,Chennai,2
Velachery,2 bhk,1615,1,101.7248,Chennai,2
Chrompet,1 bhk,1026,1,138.851,Chennai,1
Velachery,2 bhk,1598,1,117.6209,Chennai,2
Velachery,3 bhk,1896,2,93.156,Chennai,3
KK Nagar,4 bhk,2276,2,132.2196,Chennai,4
KK Nagar,4 bhk,2407,2,170.9976,Chennai,4
Chrompet,1 bhk,1083,1,96.9296,Chennai,1
Chrompet,1 bhk,728,1,76.385,Chennai,1
T Nagar,2 bhk,1894,1,118.6301,Chennai,2
Anna Nagar,1 bhk,1595,1,116.7983,Chennai,1
Chrompet,2 bhk,1274,1,142.544,Chennai,2
Anna Nagar,1 bhk,1760,1,123.0852,Chennai,1
Adyar,1 bhk,969,1,111.57225,Chennai,1
Velachery,2 bhk,1652,1,94.6396,Chennai,2
Karapakkam,1 bhk,1211,1,74.91375,Chennai,1
Chrompet,1 bhk,958,1,128.634,Chennai,1
Chrompet,1 bhk,818,1,80.275,Chennai,1
Adyar,1 bhk,958,1,112.2172,Chennai,1
Chrompet,1 bhk,1091,1,148.9385,Chennai,1
Chrompet,1 bhk,1066,1,95.723,Chennai,1
KK Nagar,4 bhk,2371,2,104.634,Chennai,4
Karapakkam,2 bhk,1451,2,104.75,Chennai,2
Anna Nagar,2 bhk,1985,1,219.6952,Chennai,2
Velachery,3 bhk,1853,2,165.5035,Chennai,3
Velachery,3 bhk,1841,2,98.7117,Chennai,3
Anna Nagar,1 bhk,1767,1,203.3109,Chennai,1
Chrompet,1 bhk,1147,1,93.521,Chennai,1
Chrompet,2 bhk,1232,1,85.881,Chennai,2
Chrompet,2 bhk,1264,1,102.6543,Chennai,2
Karapakkam,1 bhk,898,1,94.5125,Chennai,1
Chrompet,1 bhk,743,1,80.1066,Chennai,1
Chrompet,1 bhk,1064,1,99.5593,Chennai,1
Chrompet,1 bhk,980,1,100.446,Chennai,1
Anna Nagar,1 bhk,1780,1,194.5929,Chennai,1
KK Nagar,2 bhk,1665,1,120.5458,Chennai,2
Velachery,3 bhk,1852,2,146.4678,Chennai,3
Chrompet,2 bhk,1231,1,138.7485,Chennai,2
KK Nagar,2 bhk,1413,1,89.9296,Chennai,2
KK Nagar,4 bhk,2443,2,183.344,Chennai,4
Chrompet,1 bhk,1071,1,102.2305,Chennai,1
KK Nagar,2 bhk,1614,1,102.8234,Chennai,2
KK Nagar,1 bhk,1302,1,104.2376,Chennai,1
Anna Nagar,2 bhk,1923,1,123.2064,Chennai,2
Chrompet,1 bhk,805,1,79.1535,Chennai,1
Anna Nagar,1 bhk,1586,1,106.7145,Chennai,1
Velachery,3 bhk,1883,2,136.5044,Chennai,3
KK Nagar,2 bhk,1582,1,123.6368,Chennai,2
Adyar,1 bhk,1109,1,99.7728,Chennai,1
Karapakkam,1 bhk,968,1,62.9725,Chennai,1
Karapakkam,2 bhk,1687,2,111.1,Chennai,2
Velachery,2 bhk,1754,1,70.9106,Chennai,2
Anna Nagar,1 bhk,1766,1,131.615,Chennai,1
Velachery,2 bhk,1656,1,141.7821,Chennai,2
Chrompet,1 bhk,805,1,88.2835,Chennai,1
Karapakkam,1 bhk,726,1,65.5375,Chennai,1
Karapakkam,1 bhk,1228,1,109.33,Chennai,1
Anna Nagar,2 bhk,1995,1,205.5092,Chennai,2
Karapakkam,1 bhk,931,1,80.925,Chennai,1
Chrompet,1 bhk,737,1,59.4004,Chennai,1
Velachery,2 bhk,1762,1,149.1246,Chennai,2
Velachery,2 bhk,1726,1,144.7113,Chennai,2
T Nagar,2 bhk,1915,1,150.9015,Chennai,2
Chrompet,1 bhk,729,1,79.1898,Chennai,1
Karapakkam,2 bhk,1653,2,112.48,Chennai,2
Chrompet,2 bhk,1261,1,150.442,Chennai,2
Velachery,2 bhk,1744,1,98.7249,Chennai,2
Adyar,1 bhk,791,1,73.59275,Chennai,1
KK Nagar,3 bhk,2199,2,126.8742,Chennai,3
Velachery,3 bhk,1915,2,69.9785,Chennai,3
Chrompet,1 bhk,857,1,77.387,Chennai,1
Anna Nagar,2 bhk,1853,1,214.3722,Chennai,2
Anna Nagar,1 bhk,1701,1,121.8554,Chennai,1
Chrompet,1 bhk,963,1,112.2405,Chennai,1
Anna Nagar,2 bhk,1889,1,130.4198,Chennai,2
Velachery,2 bhk,1544,1,73.5984,Chennai,2
Chrompet,1 bhk,916,1,125.016,Chennai,1
Karapakkam,1 bhk,1175,1,68.9825,Chennai,1
Anna Nagar,2 bhk,1966,1,146.2225,Chennai,2
KK Nagar,4 bhk,2292,2,129.9672,Chennai,4
Anna Nagar,1 bhk,1781,1,114.3042,Chennai,1
Karapakkam,1 bhk,1075,1,75.4175,Chennai,1
Chrompet,1 bhk,1056,1,93.419,Chennai,1
Chrompet,1 bhk,948,1,81.5926,Chennai,1
Chrompet,1 bhk,1002,1,115.152,Chennai,1
Karapakkam,1 bhk,823,1,64.20875,Chennai,1
Chrompet,1 bhk,856,1,96.566,Chennai,1
KK Nagar,2 bhk,1432,1,89.2516,Chennai,2
Adyar,1 bhk,742,1,60.37545,Chennai,1
KK Nagar,2 bhk,1743,1,108.8262,Chennai,2
KK Nagar,4 bhk,2311,2,127.8464,Chennai,4
Karapakkam,1 bhk,1055,1,80.6,Chennai,1
Velachery,2 bhk,1641,1,161.3748,Chennai,2
Karapakkam,1 bhk,690,1,64.43,Chennai,1
Chrompet,1 bhk,756,1,99.6022,Chennai,1
Velachery,2 bhk,1704,1,109.0643,Chennai,2
Karapakkam,1 bhk,680,1,34.04,Chennai,1
Anna Nagar,1 bhk,1734,1,126.8398,Chennai,1
Adyar,1 bhk,1033,1,80.5745,Chennai,1
Karapakkam,1 bhk,757,1,90.9475,Chennai,1
Velachery,3 bhk,1912,2,100.1147,Chennai,3
Chrompet,1 bhk,845,1,65.19,Chennai,1
Chrompet,2 bhk,1275,1,140.087,Chennai,2
Chrompet,1 bhk,1173,1,95.6265,Chennai,1
KK Nagar,2 bhk,1502,1,93.2586,Chennai,2
Chrompet,1 bhk,1187,1,135.3395,Chennai,1
Anna Nagar,2 bhk,1889,1,207.0716,Chennai,2
T Nagar,2 bhk,1853,1,116.983,Chennai,2
Adyar,1 bhk,603,1,53.42,Chennai,1
KK Nagar,3 bhk,2172,2,171.9366,Chennai,3
Anna Nagar,1 bhk,1507,1,172.9455,Chennai,1
